id;image_source;image_destination;duration;user_id
1;sensor Liaison;Mayen modular North;92108;1
2;Assistant Virginia composite;copying;48852;2
3;Concrete mobile parse;Licensed plug-and-play Mozambique;22427;2
4;invoice USB green;Mountain;20177;1
5;Optional parse;discrete;24538;1
6;Islands Shoes context-sensitive;Dollar Rubber Circles;39687;2
7;teal solution-oriented;THX sky AGP;17676;1
8;Kids;Agent Functionality;97038;1
9;Mississippi;Refined Branch Plastic;33486;1
10;Wooden didactic;invoice ivory Connecticut;77909;2
