id;name;version;fee_per_second;display_name
1;Berkshire;Soft;5715;Norwegian local
2;Principal viral;Rustic;77244;Inlet Garden
3;Home;withdrawal Berkshire;11780;International
4;rich SSL Distributed;Shoals Cotton;56754;online architectures Fresh
5;Granite;Luxembourg Automotive;31935;Handcrafted
6;index;Market magenta Checking;43057;Franc CSS
7;blue;enterprise Liaison;58995;quantifying
8;Manor teal;Isle Cayman;72547;backing
9;copy withdrawal Dynamic;online copying;53540;Mount
10;Cambridgeshire;PNG Mouse;93036;Pizza Washington Lead
